NAME	LAT	LNG	CAPACITY	LANGUAGES
Plato Restaurant	42.507093	1.526778	60	CA,ES,FR,EN
Can Manel	42.506403	1.515821	45	CA,ES,FR,EN,PT
Andorra Park Hotel	42.509279	1.522746	60	CA,ES,FR,EN,PT
K L'Irina	42.506963	1.528661	42	CA,ES,FR,EN
El Refugi Alpi	42.508964	1.529095	126	CA,ES,FR,EN,PT
TatÏ	42.505191	1.525372	40	CA,ES,FR,EN,PT
El Faisa	42.507908	1.522285	28	CA,ES,FR
Bar Restaurant-Park Infantil - Serradells	42.499828	1.518549	100	CA,ES,FR,EN
De L'Isard	42.50806	1.525206	100	CA,ES,FR,EN,PT
Els Teus Sentits	42.507216	1.520719	36	CA,ES,FR,EN,PT
Lizarran	42.50841	1.529953	50	CA,ES,FR,EN,PT
Quarts De Quinze	42.508002	1.521909	24	CA,ES,FR,EN
Self-Service Cafeteria Cca	42.50823	1.53034		CA,ES,FR,EN,RU,PT
Frankfurt Pedralbes	42.507828	1.532662	30	CA,ES,EN,PT
La Taverna D'Ali	42.506838	1.52995		CA,ES,FR,EN,RU,PT,AR
Bar Els Manyos	42.505169	1.52641	30	CA,ES,FR,PT
Cervol	42.503081	1.513228	20	CA,ES,FR,EN
Vietnam Gourmet	42.506615	1.530659		CA,ES,FR,EN,VI
Andorra Center	42.507671	1.520488	240	CA,ES,FR,EN,RU,PT
Restaurant Coma	42.506925	1.520784	20	CA,ES,FR,EN
Andorra Doner Kebab	42.50678	1.528792	75	CA,ES,EN,PT
Nostrum	42.506762	1.530468	20	CA,ES,RU
Monxi El Pirata	42.496386	1.500396	30	CA,ES,FR
Restaurant Minim's	42.5072	1.520759	36	CA,ES,FR,EN
Pizzeria Angelo	42.46939	1.492588	115	CA,ES,FR,EN
La Quadra	42.476378	1.488862	180	CA,PT
Borda De Les Pubilles	42.46258	1.50197	60	CA,ES,FR,EN,PT
Borda De Conangle	42.441131	1.500406	50	,1
Coma-Bella	42.446503	1.494613	40	CA,ES,FR,EN
Restauran Barcelona	42.476344	1.49009	40	CA,ES,FR,EN,RU
Pizzeria Uruguaia	42.462984	1.491147	45	CA,ES
Borda L'Arena	42.47751	1.472608	48	CA,ES,FR
Self-Service Punt De Trobada Centre Comercial	42.448035	1.481756	386	CA,ES,FR,PT
Pizzeria Trovi	42.448035	1.481756	80	CA,ES,FR,PT
Sant Eloi	42.458155	1.487768	160	CA,ES,FR,EN,PT
Mc Donalds	42.45983	1.489063	215	CA,ES,FR,PT
Restaurant Pizzeria Venecia	42.462614	1.491177	90	CA,ES,FR,PT
El Cantabric A Taula	42.465402	1.491233	25	CA,ES,FR
Bar Restaurant Carmen	42.475836	1.48732	50	CA,ES,FR,EN
Folch	42.467562	1.493623	200	CA,ES,FR,EN
Co-Princeps	42.468223	1.49339	140	CA,ES,FR,PT
Restaurant San Telmo	42.465734	1.495101	70	CA
Restaurant La Rabassa	42.447761	1.508746	50	CA,ES
Cafe Principal	42.462966	1.490962	50	CA,ES
Restaurant Peralba	42.476229	1.488716	40	CA,ES,FR,EN
Parador De Canolich	42.474671	1.451595	35	CA,ES,FR,EN
La Tagliatella	42.508647	1.537131	400	CA,ES,FR,EN,RU,PT
Cosmos	42.510118	1.53821	90	CA,ES,FR,EN,RU,PT
I Termes Carlemany	42.509211	1.544384	40	CA,ES,FR,PT
Els Jardins	42.510973	1.540436	60	CA,ES,FR,EN,PT
La Taverna Cal Forest	42.508758	1.537238	70	CA,ES,FR,EN,RU,PT
Hotelmola Park	42.511194	1.53969	70	CA,ES,FR,EN,PT
La Taverna Del Pa Amb Tomaquet	42.508679	1.539105	65	CA,ES,FR,EN,RU,PT
La Taverna D'Excalibur	42.508742	1.54021	120	CA,ES,FR,EN,RU,PT
La Taverna Italiana	42.508691	1.54006	150	CA,ES,FR,EN,RU,PT
Restaurant Camp Del Serrat	42.517434	1.568223	125	CA,ES,FR,EN
RÏstic Chic	42.507906	1.534272	32	CA,ES,FR
Hong Kong	42.508889	1.536718	50	CA,ES,FR,EN,PT
Restaurant Tic Tapa	42.508367	1.535897	100	CA,ES,FR,EN,PT
La Nova Forquilla	42.507793	1.53594	55	CA,ES,FR
El Greco	42.507943	1.535511	60	CA,ES,FR,PT
Espel	42.51061	1.54204	180	CA,ES,FR,EN
Restaurant cafeteria Les Closes	42.508663	1.536895	106	CA,ES,FR,EN,PT
Restaurant El Passadis	42.510848	1.53371	90	CA,ES,FR,EN,PT,TL
Restaurant I_	42.51127	1.537525	40	CA,ES,FR,EN,RU
Restaurant Deimos	42.511597	1.537338	120	CA,ES,FR,EN
Pizzeria Angelo	42.50773	1.534261	160	CA,ES,FR,EN,PT
AndBurguer Zero	42.509106	1.537873	70	CA,ES,FR,EN,PT
Restaurant Mussol	42.510464	1.541187	80	CA,ES,FR,EN,RU,PT
Restaurant El Refugi ( Tropical)	42.512886	1.551229	116	CA,ES,FR,EN,RU,PT
Restaurant La Toscana (Tropical)	42.512886	1.551229	156	CA,ES,FR,EN,RU,PT
Pizzeria La Plazzetta	42.508472	1.536831	102	CA,ES,FR,EN,PT
Restaurant Bar Xup-Xup	42.508189	1.539191	120	CA,ES,FR,EN
Cesar Ii	42.509161	1.54182		CA,ES,FR
Oriol	42.509193	1.53977	50	CA,ES,FR,EN,PT
Restaurant Don Denis	42.508386	1.536407	400	CA,ES,FR,EN,RU,PT
Restaurant L'Enoteca	42.510031	1.539752	35	CA,ES,FR,EN,PT
Restaurant L'Entrecªte	42.509248	1.539443	60	CA,ES,FR,EN,RU,PT
El Rebost Iberic	42.508583	1.535268	100	CA,ES,FR,EN,PT,1
Les Barques	42.508527	1.535892	100	CA,ES,FR,EN,RU,PT
Prat Del Roure	42.510882	1.535988	100	CA,ES,FR,EN
Cheese'S Art	42.508647	1.537979	100	CA,ES,FR,PT
Restaurant Eureka	42.508726	1.540189	100	CA,ES,FR,PT
Restaurant El Serch	42.512199	1.535392	50	CA,ES,FR,EN,PT
Restaurant Casa Canut	42.508568	1.535704		CA,ES,FR,EN
Panorama	42.50778	1.540967	200	CA,ES,FR,EN,RU,PT
Restaurant Jaleo	42.511093	1.538424	60	CA,ES,FR,EN,PT
Pizza Roma	42.508632	1.535267	116	CA,ES,FR,EN
Restaurant Kronos (Fenix Hotel)	42.509553	1.539615	120	CA,ES,FR,EN,RU,PT
La Tapad'Era	42.508117	1.538435	40	CA,ES,FR,EN,RU,PT
Memfis (Delfos)	42.508082	1.538413	250	CA,ES,FR,EN,RU,PT
Comtes D'Urgell	42.510704	1.541176	250	CA,ES,FR,EN,RU,PT
Arts Bufet	42.508221	1.536351	80	CA,ES,FR,EN,PT
Casa Del Bistec	42.50856	1.535983	57	CA,ES,FR,EN,RU,PT
