obstacle,vertX,vertY
269,658.34033,10.183197
269,656.44684,9.280029
269,651.0344,6.698456
269,645.81396,4.208435
269,639.4834,4.344696
269,634.18225,4.621338
269,634.2953,-5.844116
269,638.52344,-5.755951
269,643.8535,-4.966858
269,650.099,-3.039856
269,654.5927,-1.7730713
269,658.24567,-0.030700684
269,663.2907,3.2522888
269,667.71625,5.363159
269,673.0585,7.0346375
269,679.0383,7.78302
269,686.8639,7.8338013
269,687.39246,12.644379
269,687.5774,15.888367
269,688.123,18.778412
269,690.1472,18.86731
269,696.5969,21.067047
269,707.3293,25.30951
269,714.89294,29.793823
269,721.2318,34.570557
269,715.58374,40.6427
269,708.47217,36.19876
269,710.2245,40.891663
269,694.4043,44.74179
269,690.7698,30.560242
269,682.72217,29.526917
269,676.464,30.223755
269,675.3803,35.667816
269,673.2489,35.527832
269,673.1316,36.34845
269,663.2429,35.3136
269,647.9447,33.977722
269,648.4658,28.26529
269,645.9972,28.315063
269,646.4578,23.625732
269,649.0314,23.976624
269,649.07434,19.43872
268,1119.7832,29.710663
268,1118.3148,40.581512
268,1142.4866,43.344727
268,1143.198,33.164673
268,1119.7832,29.710663
267,1646.4475,424.50616
267,1637.9585,417.65198
267,1629.0562,428.83423
267,1622.615,422.60602
267,1617.7227,428.8634
267,1629.563,438.3681
267,1631.1487,436.31927
267,1632.4558,437.81934
267,1634.0505,435.77484
267,1635.9429,437.55402
267,1646.4475,424.50616
266,163.44843,179.47873
266,148.76782,185.80096
266,153.71802,196.75294
266,159.66376,193.80328
266,157.01276,188.85701
266,166.16077,184.62958
266,163.44843,179.47873
265,189.07605,167.1572
265,182.01819,170.27777
265,181.11847,168.79669
265,166.98718,175.38095
265,173.70667,189.10536
265,167.47058,191.91656
265,171.64502,201.62184
265,192.46466,191.56549
265,191.92108,190.42961
265,198.15381,187.44147
265,195.84991,183.5374
265,208.81775,177.45012
265,207.95947,175.1122
265,219.07043,170.06784
265,229.1217,190.81645
265,239.21771,186.1646
265,229.75134,166.3962
265,252.61993,155.38858
265,247.70422,145.32968
265,221.34082,157.82614
265,220.94366,155.53288
265,204.1626,163.83376
265,203.06769,161.3829
265,224.05255,151.4054
265,221.66498,146.58478
265,203.93713,155.1354
265,205.06445,157.42635
265,202.51093,158.13696
265,201.59338,156.64731
265,187.49109,163.59607
265,189.07605,167.1572
264,279.14838,169.09396
264,288.4712,152.50189
264,294.03473,135.34409
264,289.4057,127.350494
264,273.16046,129.0693
264,251.57861,135.78172
264,258.59222,154.5554
264,270.578,169.9151
264,279.14838,169.09396
263,258.41144,170.59892
263,248.19556,194.30385
263,264.97003,201.42825
263,275.25403,177.58047
263,258.41144,170.59892
262,673.3473,324.68246
262,671.7577,330.76187
262,665.35144,329.4594
262,667.39777,322.72128
262,673.3473,324.68246
261,681.00073,326.40436
261,679.6356,331.71426
261,671.7577,330.76187
