"shapeid","osm_id","name","ref","type","oneway","bridge","maxspeed"
"71","24713936","Carrer Bisbe Princep Iglesias","NULL","residential","0","0","NULL"
"72","24714294","Carrer Roger Bernat III","NULL","residential","0","0","NULL"
"73","24714736","Avinguda del Princep Benlloch","NULL","primary","0","0","NULL"
"74","24714743","Avinguda de Santa Coloma","NULL","primary","0","0","NULL"
"75","24714892","Carrer dels Canals","NULL","residential","0","0","NULL"
"76","24715008","Baixada del Molì","NULL","primary","0","0","NULL"
"77","24715185","Avinguda de Salou","CG-1","primary","1","0","50"
"78","24715324","Carrer de l'Aigueta","NULL","residential","1","0","NULL"
"79","24914526","Avinguda de les Nacions Unides","NULL","residential","0","0","NULL"
"80","24914534","Carrer de la Constitucio","NULL","residential","0","0","NULL"
"81","24914563","roundabout","NULL","residential","1","0","50"
"82","24914660","Carrer de Parnal","NULL","residential","1","0","NULL"
"83","24914843","NULL","NULL","residential","1","0","50"
"84","24914870","Carrer de la Constitucio","NULL","residential","0","0","NULL"
"85","24914903","roundabout","NULL","residential","1","0","50"
"86","24914989","Avinguda Consell de la Terra","NULL","residential","0","0","NULL"
"87","24915114","Avinguda del Pont de la Tosca","NULL","primary","0","0","NULL"
"88","25484821","Carrer Pau Casals","NULL","residential","1","0","NULL"
"89","25569661","Urbanitzacio Ermengol Sera","NULL","residential","0","0","50"
"90","25569665","Avinguda Coprincep de Gaulle","NULL","primary","1","0","NULL"
"91","25569745","Carrer de la Constitucio","NULL","residential","0","1","NULL"
"92","25569748","Carrer de la Constitucio","NULL","residential","0","0","NULL"
"93","25569775","Avinguda de les Escoles","NULL","primary","1","1","NULL"
"94","25770445","Carrer de la Closa","NULL","residential","0","0","NULL"
"95","25770744","Carrer Mossen Tremosa","NULL","residential","1","0","NULL"
"96","25770745","Plaça Guillemo","NULL","residential","1","0","NULL"
"97","25771015","Carrer Roc de l'Aldias","NULL","residential","0","0","NULL"
"98","25771079","Carrer Font del Puial","NULL","residential","1","0","NULL"
"99","25771241","Carrer Mestre Xavier Plana","NULL","residential","0","0","NULL"
"100","29422567","Carrer Gil Torres","NULL","residential","1","0","NULL"
"101","30567238","Parc Central","NULL","footway","0","0","NULL"
"102","30567542","Carrer del Valira","NULL","primary","0","0","50"
"103","30922493","Avinguda Carlemany","NULL","living_street","1","0","NULL"
"104","30922528","Avinguda Carlemany","NULL","primary","0","0","NULL"
"105","42810813","Ctra. de l'Obac","CG-2","primary","1","0","90"
"106","42811127","Rotonda Engolasters","CG-2","primary","1","0","50"
"107","113718479","Avinguda de Tarragona","CG-1","primary","1","0","50"
"108","124672851","Ctra. de l'Obac","NULL","primary","1","0","NULL"
"109","124672854","Ctra. de l'Obac","CG-2","primary","1","0","70"
"110","124672984","Vial de la Unio","NULL","primary","1","0","NULL"
"111","139663048","Carrer Sant Salvador","NULL","residential","0","0","NULL"
"112","139663053","Plaça de la Sardana","NULL","pedestrian","0","0","NULL"
"113","144276104","Carrer Esteve Dolsa Pujol","NULL","residential","1","0","NULL"
