Date,Hour,Lat,Lon,Language
20140815,15 00,42.56597,1.5979456,en
20140602,02 21,42.559086,1.5037638,de
20140602,02 18,42.442245,1.5022955,en
20140602,02 17,42.466816,1.4926275,es
20140602,02 17,42.507782,1.5241063,en*
20140602,02 15,42.507084,1.5202365,gl
20140602,02 15,42.50671,1.5209446,es
20140602,02 14,42.50794,1.5226023,es
20140602,02 14,42.48587,1.49045,es
20140602,02 12,42.586666,1.665504,ca
20140602,02 10,42.50671,1.5209446,es
20140602,02 07,42.50911,1.5232396,es
