ID;Name;Callsign;Gen;Latitude;Longitude;Altitude (m);Height (m);Frequency (Hz) ;ERP (W?);Polarization;Direction (deg);Aperture (deg);Tilt M;Tilt E
55;PYRENEES-5;55;3G;42.50833;1.523611;0;2;NaN;NaN;;120;65;-2;-2
56;PYRENEES-6;56;3G;42.50833;1.523611;0;2;NaN;NaN;;230;65;-2;-3
57;PYRENEES-7;57;3G;42.50833;1.523611;0;2;NaN;NaN;;330;65;0;0
9050;PYRENEES-A;9050;3G;42.50833;1.523611;0;2;NaN;NaN;;120;65;-2;-2
9051;PYRENEES-B;9051;3G;42.50833;1.523611;0;2;NaN;NaN;;230;90;-3;-3
9052;PYRENEES-C;9052;3G;42.50833;1.523611;0;2;NaN;NaN;;180;65;0;-12
230;RABASSA_MINI-0;0;3G;42.435;1.5225;0;3;NaN;NaN;;0;360;0;0
170;RANSOL-0;170;3G;42.579166;1.639167;0;5;NaN;NaN;;110;65;0;0
171;RANSOL-1;171;3G;42.579166;1.639167;0;5;NaN;NaN;;235;65;0;5
172;RANSOL-2;172;3G;42.579166;1.639167;0;5;NaN;NaN;;21;65;0;0
331;RIBAESCORXADA2_MINI-0;0;3G;42.568333;1.646667;0;2;NaN;NaN;;223;65;0;0
332;RIBAESCORXADA2_MINI-1;0;3G;42.56778;1.641111;0;3;NaN;NaN;;0;360;0;0
1140;SANTA_COLOMA-0;0;3G;42.496666;1.498056;0;1;NaN;NaN;;100;65;-3;0
1141;SANTA_COLOMA-1;0;3G;42.496666;1.498056;0;1;NaN;NaN;;195;65;-3;0
221;SOLANELLES-0;0;3G;42.54222;1.651111;0;3;NaN;NaN;;284;60;0;-9
130;SOLDEU_HOTEL-0;130;3G;42.575558;1.670278;0;5;NaN;NaN;;0;65;0;0
131;SOLDEU_HOTEL-1;131;3G;42.575558;1.670278;0;5;NaN;NaN;;120;65;0;0
132;SOLDEU_HOTEL-2;132;3G;42.575558;1.670278;0;5;NaN;NaN;;240;65;0;0
330;SOLDEU_NODE_MINI-0;330;3G;42.577778;1.6625;0;2;NaN;NaN;;0;360;0;0
311;SOLDEU_NODE_MINI-1;0;3G;42.5775;0.019167;0;2;NaN;NaN;;125;65;0;0
420;SORTENY-0;420;3G;42.621113;1.538333;0;2;NaN;NaN;;0;360;0;0
430;ST_ERMENGOL-0;430;3G;42.51139;1.530556;0;10;NaN;NaN;;120;65;-4;-7
431;ST_ERMENGOL-1;431;3G;42.51139;1.530556;0;10;NaN;NaN;;205;65;-4;-7
3431;ST_ERMENGOL-10;0;3G;42.51139;1.530556;0;10;NaN;NaN;;205;65;-4;-7
435;ST_ERMENGOL-5;435;3G;42.51139;1.530556;0;10;NaN;NaN;;120;65;-4;-7
436;ST_ERMENGOL-6;436;3G;42.51139;1.530556;0;10;NaN;NaN;;205;65;-4;-7
