ID,Cluster,Latitude,Longitude,Frequency,Resilience,Mindshare Indicator
31,Information Technology & Services,42.363586,-71.08246,1.0,126.02,5.09
31,Information Technology & Services,42.36693,-71.081665,1.0,3000.21,1.06
31,Information Technology & Services,42.36708,-71.08455,1.0,65407.69,13.43
31,Information Technology & Services,42.36708,-71.08455,1.0,17.73,58.67
31,Information Technology & Services,42.39355,-71.12823,1.0,80006.57,2.83
31,Information Technology & Services,42.362732,-71.0832,1.0,31.77,8.87
32,Internet,42.388256,-71.13232,1.0,6.73,3.67
32,Internet,42.38253,-71.13176,1.0,6.1,0.5
32,Internet,42.37777,-71.122185,1.0,6.67,3.33
32,Internet,42.374542,-71.11942,1.0,60955.5,83.5
32,Internet,42.37039,-71.1137,1.0,36.28,31.4
32,Internet,42.36915,-71.10982,1.0,7.2,6.0
32,Internet,42.367123,-71.10822,1.0,80059.09,145.47
32,Internet,42.3663,-71.10467,1.0,302939.44,7.17
32,Internet,42.366234,-71.10329,1.0,6.5,2.5
32,Internet,42.372913,-71.094246,1.0,10006.27,1.33
32,Internet,42.372913,-71.094246,1.0,7.87,9.33
32,Internet,42.372913,-71.094246,1.0,816135.5,123.63
32,Internet,42.36586,-71.09347,1.0,40030.15,4.73
32,Internet,42.362762,-71.083496,1.0,125.87,4.33
32,Internet,42.362762,-71.083496,1.0,6.37,1.83
32,Internet,42.36273,-71.0832,1.0,146673.62,6.17
32,Internet,42.36273,-71.0832,1.0,466672.7,1.5
32,Internet,42.36594,-71.08257,1.0,586699.4,14.97
32,Internet,42.36262,-71.08204,1.0,80010.07,20.33
32,Internet,42.36693,-71.081665,1.0,,
32,Internet,42.36693,-71.081665,1.0,28.47,112.33
32,Internet,42.3699,-71.07945,1.0,100039.1,45.5
32,Internet,42.363346,-71.07871,1.0,32032.63,13.13
32,Internet,42.3656,-71.07857,1.0,14.9,44.5
32,Internet,42.368027,-71.07465,1.0,185725.9,4.5
32,Internet,42.358185,-71.10639,1.0,111496.59,0.93
32,Internet,42.359146,-71.0566,1.0,217726.12,5.65
32,Internet,42.36257,-71.08362,1.0,7.1,5.5
32,Internet,42.362583,-71.08535,1.0,53363.71,4.57
32,Internet,42.362583,-71.08535,1.0,11739.67,4.33
32,Internet,42.362762,-71.083496,1.0,31.19,5.93
32,Internet,42.362762,-71.083496,1.0,31.47,7.37
32,Internet,42.362762,-71.083496,1.0,158.4,762.0
32,Internet,42.36305,-71.08748,1.0,,
32,Internet,42.363586,-71.08246,1.0,45362.67,119.33
32,Internet,42.364014,-71.10137,1.0,312686.03,68.17
32,Internet,42.36406,-71.08907,1.0,3004.99,24.95
32,Internet,42.36437,-71.07898,1.0,94066.21,13.07
32,Internet,42.36549,-71.10384,1.0,38.3,161.5
32,Internet,42.365593,-71.07851,1.0,125.01,0.06
32,Internet,42.36585,-71.07579,1.0,59.97,269.83
32,Internet,42.36787,-71.078255,1.0,66672.67,1.33
32,Internet,42.370182,-71.07358,1.0,44.2,191.0
32,Internet,42.37116,-71.11432,1.0,30.14,0.7
32,Internet,42.372116,-71.11583,1.0,59.03,145.17
32,Internet,42.373615,-71.10973,1.0,6.8,4.0
32,Internet,42.374355,-71.111595,1.0,542744.0,238.07
32,Internet,42.374355,-71.111595,1.0,160030.89,4.47
32,Internet,42.38033,-71.13891,1.0,106678.13,28.67
32,Internet,42.38033,-71.13891,1.0,134713.7,206.5
32,Internet,42.398422,-71.130295,1.0,420006.3,1.5
32,Internet,42.398422,-71.130295,1.0,133372.06,46.37
33,Leisure & Travel,42.362583,-71.08535,1.0,140408.23,11.17
34,Logistics & Supply Chain,42.36466,-71.10338,1.0,58.4,262.0
34,Logistics & Supply Chain,42.36273,-71.0832,1.0,30.1,0.5
35,Management Consulting,42.39096,-71.14211,1.0,16030.01,0.03
35,Management Consulting,42.385494,-71.11933,1.0,126.1,5.48
35,Management Consulting,42.370724,-71.07765,1.0,35.24,26.2
35,Management Consulting,42.365517,-71.104485,1.0,33.24,16.2
36,Market Research,42.36262,-71.08204,1.0,8.37,11.83
36,Market Research,42.36693,-71.081665,1.0,66731.21,6.03
36,Market Research,42.363346,-71.07871,1.0,18.87,64.33
37,Marketing & Advertising,42.36693,-71.081665,1.0,87.07,405.33
37,Marketing & Advertising,42.36429,-71.079254,1.0,125.04,0.18
37,Marketing & Advertising,42.363346,-71.07871,1.0,34.74,23.7
37,Marketing & Advertising,42.3656,-71.07857,1.0,6.47,2.33
37,Marketing & Advertising,42.35882,-71.10433,1.0,1053342.4,18.17
37,Marketing & Advertising,42.36263,-71.08205,1.0,277363.75,4.77
37,Marketing & Advertising,42.362762,-71.083496,1.0,6.43,2.17
37,Marketing & Advertising,42.362762,-71.083496,1.0,12095.45,327.27
37,Marketing & Advertising,42.363586,-71.08246,1.0,6.37,1.83
37,Marketing & Advertising,42.3656,-71.07857,1.0,350.27,1.33
37,Marketing & Advertising,42.36708,-71.08455,1.0,42378.71,68.56
38,Mechanical or Industrial Engineering,42.39833,-71.1286,1.0,360198.1,40.4
39,Media Production,42.373993,-71.120995,1.0,72078.03,240.13
40,Medical Device,42.37167,-71.09709,1.0,124122.93,0.67
40,Medical Device,42.36864,-71.08996,1.0,601297.25,4.13
40,Medical Device,42.36273,-71.0832,1.0,,
40,Medical Device,42.36654,-71.08296,1.0,292032.16,10.83
40,Medical Device,42.36708,-71.08455,1.0,83325.3,1.5
40,Medical Device,42.373615,-71.10973,1.0,13342.9,20.5
40,Medical Device,42.374355,-71.111595,1.0,502526.66,8.3
40,Medical Device,42.386856,-71.12937,1.0,106697.33,4.67
41,Medical Practice,42.36693,-71.081665,1.0,129725.63,3.16
42,Music,42.36693,-71.081665,1.0,96037.0,155.0
43,Nanotechnology,42.35975,-71.11498,1.0,534698.2,8.87
43,Nanotechnology,42.36245,-71.11447,1.0,10.93,24.67
44,Nonprofit Organization Management,42.368904,-71.109,1.0,30.39,1.97
45,Oil & Energy,42.39161,-71.148254,1.0,493364.88,10.37
45,Oil & Energy,42.36245,-71.11447,1.0,400038.72,43.53
45,Oil & Energy,42.366844,-71.08014,1.0,1.49867E7,18.17
45,Oil & Energy,42.36708,-71.08455,1.0,1796564.2,7.5
45,Oil & Energy,42.373615,-71.10973,1.0,101748.4,48.0
46,Online Publishing,42.360474,-71.09541,1.0,122039.72,48.6
46,Online Publishing,42.36299,-71.08659,1.0,236014.95,40.76
46,Online Publishing,42.375393,-71.118484,1.0,80030.2,1.0
47,Outsourcing/Offshoring,42.36257,-71.08362,1.0,750.87,4.37
48,Pharmaceuticals,42.397793,-71.15062,1.0,773363.7,4.37
48,Pharmaceuticals,42.39096,-71.14211,1.0,57339.93,5.67
48,Pharmaceuticals,42.35902,-71.11558,1.0,998786.56,23.85
48,Pharmaceuticals,42.353577,-71.10877,1.0,12926.11,5.56
48,Pharmaceuticals,42.35864,-71.10347,1.0,956606.25,6.13
48,Pharmaceuticals,42.36081,-71.09878,1.0,354.19,20.95
48,Pharmaceuticals,42.36214,-71.09509,1.0,500020.3,71.5
48,Pharmaceuticals,42.36679,-71.09313,1.0,57492.8,1.99
48,Pharmaceuticals,42.362915,-71.09137,1.0,126.31,6.53
48,Pharmaceuticals,42.362915,-71.09137,1.0,6414697.0,4.07
48,Pharmaceuticals,42.366463,-71.088135,1.0,240751.72,8.6
48,Pharmaceuticals,42.36289,-71.08748,1.0,1.8024012E7,29.67
48,Pharmaceuticals,42.362427,-71.11603,1.0,1466697.1,3.83
48,Pharmaceuticals,42.368134,-71.07835,1.0,32.95,14.77
48,Pharmaceuticals,42.373615,-71.10973,1.0,1.3266715E7,214.17
49,Professional Training,42.36237,-71.084595,1.0,34747.76,256.8
50,Publishing,42.36905,-71.10885,1.0,487.5,2407.5
50,Publishing,42.36686,-71.10729,1.0,125.75,3.74
51,Real Estate,42.372913,-71.094246,1.0,6.07,0.33
51,Real Estate,42.373615,-71.10973,1.0,160020.33,71.67
52,Renewables & Environment,42.37217,-71.12306,1.0,5813363.5,124.0
52,Renewables & Environment,42.36273,-71.0832,1.0,8.03,10.17
52,Renewables & Environment,42.36273,-71.0832,1.0,30.54,2.7
53,Research,42.391994,-71.15359,1.0,266696.62,1.2
53,Research,42.358963,-71.093475,1.0,353.65,18.23
53,Research,42.366463,-71.088135,1.0,142086.48,18.4
53,Research,42.36445,-71.08771,1.0,20.77,73.83
53,Research,42.3632,-71.09238,1.0,3002.37,11.84
53,Research,42.390038,-71.147934,1.0,17816.94,2.68
54,Retail,42.372913,-71.094246,1.0,80031.16,5.8
55,Semiconductors,42.398186,-71.12931,1.0,1632263.0,80.93
55,Semiconductors,42.34889,-71.106804,1.0,1870770.4,14.0
56,Staffing & Recruiting,42.37217,-71.12306,1.0,8.03,10.17
57,Telecommunications,42.399685,-71.13094,1.0,199526.19,13.92
57,Telecommunications,42.362816,-71.08402,1.0,157368.53,28.63
57,Telecommunications,42.36708,-71.08455,1.0,13340.3,7.5
58,Transportation/Trucking/Railroad,42.365517,-71.104485,1.0,36377.85,7.27
59,Venture Capital,42.36237,-71.084595,1.0,266719.1,233.5
59,Venture Capital,42.36543,-71.082596,1.0,130.68,28.4
61,Wireless,42.39429,-71.145004,1.0,186699.1,13.43
61,Wireless,42.362858,-71.08376,1.0,11132.83,0.16
61,Wireless,42.3696,-71.0768,1.0,30.95,4.73
61,Wireless,42.372913,-71.118996,1.0,169732.61,38.07
