olat,olon,dlat,dlon,amount,,
42.51388889,1.495555556,42.62111111,1.538333333,1,,
42.5825,1.519166667,42.5825,1.519166667,19,,
42.5825,1.519166667,42.59777778,1.5275,1,,
42.56444444,1.526944444,42.56444444,1.526944444,3,,
42.62111111,1.538333333,42.62111111,1.538333333,11,,
42.62111111,1.538333333,42.6225,1.563888889,1,,
42.62111111,1.538333333,42.62111111,1.538333333,1,,
42.59777778,1.5275,42.59777778,1.5275,7,,
42.59777778,1.5275,42.5825,1.519166667,2,,
42.59777778,1.5275,42.59777778,1.5275,17,,
42.6225,1.563888889,42.6225,1.563888889,3,,
42.62111111,1.538333333,42.59777778,1.5275,1,,
42.62111111,1.538333333,42.62111111,1.538333333,9,,
42.50833333,1.523611111,42.51972222,1.557222222,1,,
42.53444444,1.58,42.53444444,1.58,1,,
42.53444444,1.58,42.53444444,1.58,1,,
42.56611111,1.5975,42.56611111,1.5975,1,,
42.535,1.5875,42.535,1.5875,5,,
42.535,1.5875,42.535,1.5875,1,,
42.535,1.5875,42.535,1.5875,1,,
42.51972222,1.557222222,42.51972222,1.557222222,3,,
42.51972222,1.557222222,42.54666667,1.563611111,1,,
42.53194444,1.562777778,42.53444444,1.58,1,,
42.53194444,1.562777778,42.53194444,1.562777778,1,,
42.54666667,1.563611111,42.54666667,1.563611111,1,,
42.54666667,1.563611111,42.53194444,1.562777778,1,,
42.54666667,1.563611111,42.54666667,1.563611111,3,,
42.53444444,1.58,42.535,1.5875,1,,
42.53444444,1.58,42.53444444,1.58,3,,
42.56805556,1.600277778,42.56805556,1.600277778,1,,
42.56805556,1.600277778,42.56611111,1.5975,1,,
42.51138889,1.530555556,42.51972222,1.557222222,1,,
42.56805556,1.600277778,42.56805556,1.600277778,5,,
42.54666667,1.563611111,42.54666667,1.563611111,2,,
42.53444444,1.58,42.53444444,1.58,1,,
42.53444444,1.58,42.53444444,1.58,4,,
42.535,1.5875,42.535,1.5875,29,,
42.535,1.5875,42.53444444,1.58,4,,
42.53194444,1.562777778,42.53194444,1.562777778,3,,
42.50611111,1.520833333,42.53444444,1.58,1,,
42.56805556,1.600277778,42.56805556,1.600277778,2,,
42.535,1.5875,42.53194444,1.562777778,1,,
42.53444444,1.58,42.535,1.5875,5,,
42.53444444,1.58,42.53444444,1.58,24,,
42.53444444,1.58,42.53444444,1.58,1,,
42.53444444,1.58,42.53444444,1.58,1,,
42.56611111,1.5975,42.56611111,1.5975,1,,
42.56611111,1.5975,42.56611111,1.5975,2,,
42.53444444,1.58,42.53444444,1.58,15,,
42.53444444,1.58,42.53444444,1.58,9,,
42.53444444,1.58,42.53444444,1.58,2,,
42.53444444,1.58,42.53444444,1.58,5,,
42.53444444,1.58,42.53444444,1.58,2,,
42.56611111,1.5975,42.56611111,1.5975,5,,
42.56611111,1.5975,42.56611111,1.5975,7,,
42.535,1.5875,42.535,1.5875,1,,
42.535,1.5875,42.55333333,1.589166667,1,,
42.53194444,1.562777778,42.53194444,1.562777778,7,,
42.56166667,1.598333333,42.56805556,1.600277778,1,,
42.55361111,1.588888889,42.55361111,1.588888889,3,,
42.56805556,1.600277778,42.56166667,1.598333333,1,,
42.56805556,1.600277778,42.56805556,1.600277778,8,,
42.56805556,1.600277778,42.56611111,1.5975,1,,
42.53444444,1.58,42.535,1.5875,1,,
42.53444444,1.58,42.53194444,1.562777778,1,,
42.55333333,1.589166667,42.535,1.5875,1,,
