"shapeid","osm_id","name","ref","type","oneway","bridge","tunnel","maxspeed"
"6763","99967193","San Ezequiel","NULL","residential","0","0","0","NULL"
"6764","99967195","NULL","NULL","residential","0","0","0","NULL"
"6765","99967197","Carlos Fuentes","NULL","residential","0","0","0","NULL"
"6766","99967198","Proverbios","NULL","residential","0","0","0","NULL"
"6767","99967200","Gálatas","NULL","residential","0","0","0","NULL"
"6768","99967201","Proverbios","NULL","residential","0","0","0","NULL"
"6769","99967202","Antonio Mena","NULL","residential","0","0","0","NULL"
"6770","99967204","Tierra y Libertad","NULL","residential","0","0","0","NULL"
"6771","99967208","NULL","NULL","residential","0","0","0","NULL"
"6772","99967209","NULL","NULL","residential","0","0","0","NULL"
"6773","99967211","San José de los Cerritos","NULL","residential","0","0","0","NULL"
"6774","99967214","Génesis","NULL","residential","0","0","0","NULL"
"6775","99967217","Palo Blanco","NULL","residential","0","0","0","NULL"
"6776","99967220","Ciprés","NULL","residential","0","0","0","NULL"
"6777","99967221","San Javier","NULL","residential","1","0","0","NULL"
"6778","99967225","Bellotas","NULL","residential","0","0","0","NULL"
"6779","99967226","Nuez de la India","NULL","residential","0","0","0","NULL"
"6780","99967228","NULL","NULL","residential","0","0","0","NULL"
"6781","99967231","NULL","NULL","residential","0","0","0","NULL"
"6782","99967233","Loma de las Liebres","NULL","residential","0","0","0","NULL"
"6783","99967235","Jacinto Canek","NULL","residential","0","0","0","NULL"
"6784","99967236","Éxodo","NULL","residential","0","0","0","NULL"
"6785","99967239","Loma de los Pelícanos","NULL","residential","0","0","0","NULL"
"6786","99967240","NULL","NULL","residential","0","0","0","NULL"
"6787","99967242","Privada 2","NULL","residential","0","0","0","NULL"
"6788","99967244","NULL","NULL","residential","0","0","0","NULL"
"6789","99967246","San Marcos","NULL","residential","0","0","0","NULL"
"6790","99967248","1","NULL","residential","0","0","0","NULL"
"6791","99967250","NULL","NULL","residential","0","0","0","NULL"
"6792","99967251","Palma Castilla","NULL","residential","0","0","0","NULL"
"6793","99967252","NULL","NULL","residential","0","0","0","NULL"
"6794","99967254","NULL","NULL","unclassified","0","0","0","NULL"
"6795","99967256","NULL","NULL","residential","0","0","0","NULL"
"6796","99967257","Loma de los Flamingos","NULL","residential","0","0","0","NULL"
"6797","99967259","NULL","NULL","residential","0","0","0","NULL"
"6798","99967260","Julio Torres","NULL","residential","0","0","0","NULL"
"6799","99967261","Palo Blanco","NULL","residential","0","0","0","NULL"
"6800","99967263","NULL","NULL","residential","0","0","0","NULL"
"6801","99967264","NULL","NULL","residential","0","0","0","NULL"
"6802","99967266","Nogal de Bellota","NULL","residential","0","0","0","NULL"
"6803","99967267","San Javier","NULL","residential","1","0","0","NULL"
"6804","99967270","San Lucas","NULL","residential","0","0","0","NULL"
"6805","99967272","Loma de los Pavos","NULL","residential","0","0","0","NULL"
"6806","99967274","NULL","NULL","residential","0","0","0","NULL"
"6807","99967275","NULL","NULL","residential","0","0","0","NULL"
"6808","99967276","San José de los Cerritos","NULL","residential","0","0","0","NULL"
"6809","99967277","2","NULL","residential","0","0","0","NULL"
"6810","99967279","NULL","NULL","residential","0","0","0","NULL"
"6811","99967281","San Juan","NULL","residential","0","0","0","NULL"
"6812","99967282","Nogal Anacardo","NULL","residential","0","0","0","NULL"
"6813","99967283","Genaro Vázquez","NULL","residential","0","0","0","NULL"
"6814","99967286","Luis Spota","NULL","residential","0","0","0","NULL"
"6815","99967288","NULL","NULL","residential","0","0","0","NULL"
"6816","99967289","Nogal Pecan","NULL","residential","0","0","0","NULL"
"6817","99967291","NULL","NULL","residential","0","0","0","NULL"
"6818","99967294","NULL","NULL","residential","0","0","0","NULL"
"6819","99967296","San Pedro","NULL","residential","0","0","0","NULL"
"6820","99967297","NULL","NULL","residential","0","0","0","NULL"
"6821","99967299","Ciprés","NULL","residential","0","0","0","NULL"
"6822","99967301","NULL","NULL","residential","0","0","0","NULL"
